strategy,timeframe,instrument,year,month,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
T3,M30,GLDRUBF,2024,1,4,1.33285047013,0.051299560431,0.205198241724,-0.616487762942,0.332850470129,0.25
T3,M30,GLDRUBF,2024,2,8,0.0918201184803,-0.657366023338,-5.2589281867,-5.2589281867,-1,0.125
T3,M30,GLDRUBF,2024,3,6,2.3512773797,0.316007888836,1.89604733301,-1.00014439357,1.89577359549,0.666666666667
T3,M30,GLDRUBF,2024,4,7,6.52177483708,1.47127154282,10.2989007998,-0.906567658115,11.3603223185,0.571428571429
T3,M30,GLDRUBF,2024,5,5,0.240048385815,-0.516081121697,-2.58040560849,-2.58040560849,-1,0.2
T3,M30,GLDRUBF,2024,6,9,0.95658846222,-0.0236268961438,-0.212642065294,-2.08566199251,-0.101954231346,0.333333333333
T3,M30,GLDRUBF,2024,7,5,1.24959849845,0.126470667649,0.632353338246,-1.5333629596,0.412396382922,0.4
T3,M30,GLDRUBF,2024,8,7,1.59907733358,0.181277935672,1.2689455497,-1.6610730142,0.763931229304,0.428571428571
T3,M30,GLDRUBF,2024,9,3,5.25222735023,1.41753577006,4.25260731018,-1.00008935551,4.25222735023,0.666666666667
T3,M30,GLDRUBF,2024,10,5,0.239599238868,-0.456290725623,-2.28145362811,-2.81143382054,-0.811491137173,0.4
T3,M30,GLDRUBF,2024,11,6,3.1269169563,0.995637479472,5.97382487683,-1.8086297333,3.30295624739,0.5
T3,M30,GLDRUBF,2024,12,3,0,-0.777158304616,-2.33147491385,-2.33147491385,-1,0
T3,M30,IMOEXF,2023,11,0,,,0,0,,
T3,M30,IMOEXF,2023,12,4,1.31274111725,0.134259265188,0.537037060751,-1.71719365035,0.312741117253,0.5
T3,M30,IMOEXF,2024,1,3,0.208468125802,-0.214623725785,-0.643871177355,-0.813449462168,-0.791531874198,0.333333333333
T3,M30,IMOEXF,2024,2,6,2.52207279926,0.666171681358,3.99703008815,-2.62604396458,1.52207279926,0.333333333333
T3,M30,IMOEXF,2024,3,5,0.317402875912,-0.409688763122,-2.04844381561,-3.00095582493,-0.682597124088,0.4
T3,M30,IMOEXF,2024,4,3,4.49173953292,0.327389029375,0.982167088124,-0.281283033533,3.49173953292,0.666666666667
T3,M30,IMOEXF,2024,5,4,1.29324914223,0.195892750136,0.783571000545,-1.67183640085,0.468688802414,0.25
T3,M30,IMOEXF,2024,6,4,11.2229932632,1.33058176557,5.32232706228,-0.520623160483,10.2229932632,0.5
T3,M30,IMOEXF,2024,7,5,8.37861114463,1.47594631754,7.37973158771,-1.00015185013,7.37861114463,0.8
T3,M30,IMOEXF,2024,8,7,1.47683083369,0.238072206667,1.66650544667,-1.00023238171,1.66611827126,0.428571428571
