generation,lifecycle_stage,strategy,timeframe,holding_bucket,trades,winners,losers,win_rate,net_R,expectancy_R,PF,avg_win_R,avg_loss_R,median_R,std_R,best_trade_R,worst_trade_R,average_holding_hours,median_holding_hours,average_MAE_R,median_MAE_R,average_MFE_R,median_MFE_R,small_sample_flag
v1,walk_forward,T3,M30,12–24h,24,13,11,0.541666666666667,13.0058674555357,0.541911143980654,3.10406356167724,1.47593666596967,-0.561937200188182,0.11459536389085,1.74910068626738,7.69567657866,-1.04654090709,19.6041666666667,19.5,0.539397889340775,0.484282059904,1.82799971973282,1.19669451519,true
v1,walk_forward,T3,M30,1–3h,8,0,8,0,-8.20771145077,-1.02596393134625,0,NA,-1.02596393134625,-1.019070075775,0.0202039725107161,-1.0057949282,-1.05695204314,1.8125,2,1,1,0.121537468926288,0.096608081517,true
v1,walk_forward,T3,M30,24–48h,6,6,0,1,16.776685815974,2.79611430266233,NA,2.79611430266233,NA,2.24523536011,2.15428964405296,6.4126142904,0.38740326797,30.9166666666667,27,0.3399154943949,0.2265532747885,4.066279621645,3.384851978865,true
v1,walk_forward,T3,M30,3–6h,8,0,8,0,-5.441635605914,-0.68020445073925,0,NA,-0.68020445073925,-0.740575421684,0.340836047297603,-0.16734989188,-1.05501230452,3.8125,4,0.662760928317125,0.751319453883,0.84369774446875,0.76233313334,true
v1,walk_forward,T3,M30,48–96h,5,3,2,0.6,2.660019654743,0.5320039309486,3.12349536155608,1.30422685848633,-0.626330460358,0.893491380989,0.980498861047898,1.71048947367,-0.644430978319,81.7,87,0.5304842349594,0.609839931412,1.6129205249756,1.87628838473,true
v1,walk_forward,T3,M30,6–12h,7,3,4,0.428571428571429,4.83861813789873,0.691231162556961,3.81716798590565,2.18538834560267,-0.429386724727317,-0.00167756020427,1.59619976585909,3.67550579303,-1.00268040375,8.64285714285714,9.5,0.440026750095629,0.318360570929,2.00722216208929,1.08759260592,true
v1,walk_forward,T3,M30,<1h,2,0,2,0,-2.10565867221,-1.052829336105,0,NA,-1.052829336105,-1.052829336105,0.043106923885,-1.00972241222,-1.09593625999,0.5,0.5,1,1,0,0,true
v2,baseline,T2,H1,12–24h,202,25,177,0.123762376237624,-112.70327862375,-0.557937022889849,0.0876799995607796,0.433261286192185,-0.697936784059628,-0.6728239102995,0.473441807837807,1.60246536093,-1.15848039679,18.7970297029703,20,0.488670170687329,0.4949586401535,0.83099040493178,0.6368630629145,false
v2,baseline,T2,H1,1–3h,46,0,46,0,-40.098113914907,-0.871698128584935,0,NA,-0.871698128584935,-1.000002621855,0.223152964348309,-0.318947734108,-1.05599235727,1.73913043478261,2,0.410657406817509,0.4280438496335,0.154338499637223,0.05282885369945,false
v2,baseline,T2,H1,24–48h,113,61,52,0.539823008849557,50.3288083136612,0.445387684191692,4.07351937086449,1.09350467357524,-0.314903399508235,0.107527378276,1.03038713842776,5.22327924721,-1.00353867743,32.5221238938053,30,0.398680347904056,0.376680115021,1.94660899783845,1.65025883135,false
v2,baseline,T2,H1,3–6h,74,3,71,0.0405405405405405,-63.1426103997871,-0.853278518916042,0.0122280699468103,0.260556859703167,-0.900341985618262,-1.00000371665,0.309086926683805,0.639199887338,-1.04053616355,3.98648648648649,4,0.621852888836991,0.6818770096395,0.424467389143224,0.2335172178465,false
v2,baseline,T2,H1,48–96h,150,91,59,0.606666666666667,156.845462039465,1.04563641359644,5.13655374106717,2.14024618165771,-0.642660008328581,0.601978974081,2.17839377503241,13.8794534098,-2.38548483767,73.6133333333333,70,0.40580628656179,0.3844030240785,2.57700550439729,1.822636641605,false
v2,baseline,T2,H1,6–12h,42,5,37,0.119047619047619,-25.336323996649,-0.603245809444024,0.237096951656456,1.5748174552006,-0.897578683044649,-0.870072989795,0.956673514680533,2.9878807265,-2.59521059978,8.04761904761905,8,0.480075623196638,0.4746950735225,0.986086815436557,0.414041297743,false
v2,baseline,T2,H1,>96h,80,77,3,0.9625,228.474241769786,2.85592802212233,211.441653188232,2.9812978055228,-0.361896418489967,2.19229600207,2.91421877021694,21.5671653981,-1.00163171905,131.8375,121,0.410097460321159,0.3544497419265,4.32533305986795,3.581266831135,false
v2,baseline,T2,M30,12–24h,499,231,268,0.462925851703407,113.984057086626,0.228424964101455,1.76753482181599,1.13632358744969,-0.554129446321832,-0.101087122751,1.21008263061991,8.10637062243,-1.74227248802,18.2935871743487,18.5,0.425634816185044,0.390479530299,1.67332116482631,1.28421940933,false
v2,baseline,T2,M30,1–3h,280,5,275,0.0178571428571429,-240.702326773107,-0.859651167046811,0.0227654782436574,1.1214715529088,-0.895671580136913,-1.00000261404,0.347995346043639,2.78497666871,-1.09389140318,1.69285714285714,1.5,0.582157714954681,0.6078752137615,0.371565281707158,0.2298090763795,false
v2,baseline,T2,M30,24–48h,112,99,13,0.883928571428571,207.147596226923,1.84953210916895,65.9383592002178,2.12462128665914,-0.245377780948623,1.448017797035,2.18678739921361,14.7045706407,-0.960247249933,32.1517857142857,27.5,0.390880216028914,0.360312619194,3.27166777963508,2.70625695005,false
v2,baseline,T2,M30,3–6h,179,13,166,0.0726256983240224,-121.344831904531,-0.677904088852128,0.0449345908603326,0.439162863165545,-0.765385235696886,-0.826678643964,0.436857940776811,1.4028304201,-2.28823037772,3.99162011173184,4,0.560876683936553,0.579151022765,0.760214401181038,0.565808911925,false
